brand,name,preference_base_note,preference_middle_note,satisfaction,buyer_gender,buyer_age,user_id
Franck Olivier,Oud Vanille,Spices,Rose,5,Women,30,115.0
Genie Collection,London Burberry,Wood,SoftPeony,4,Men,21,74.0
CARON,Pour Un Homme De Caron,Musk,Vanilla,4,Women,34,80.0
Calvin Klein,Euphoria Intense,BurntAmber,Sage,5,Men,37,256.0
DIESEL,Plus Plus Masculine,OakMoss,Birch,4,Men,29,70.0
AZZARO,Chrome Legend,Vetiver,Moss,3,Women,29,3.0
Mancera,Rose Greedy,WhiteMusk,Jasmine,3,Men,36,281.0
GUCCI,Bloom,RangoonCreeper,Tuberose,3,Men,24,216.0
DORALL COLLECTION,Oud Wood,patchouli,marigold,5,Women,38,31.0
VERSACE,L'Homme,Musk,Carnation,3,Women,21,258.0
GUCCI,Flora Gorgeous Gardenia,Patchouli,Gardenia,5,Men,26,209.0
Dior,Sauvage,Cedar,Elemi,4,Men,40,58.0
Calvin Klein,CK One,GreenTea,Jasmine,5,Women,30,263.0
Roberto Cavalli,Paradiso,Laurels,Jasmine,5,Women,33,80.0
CHLOE,Love Story,Sandalwood,Basil,5,Men,34,159.0
Dolce & Gabbana,The One,Cedar,OrangeBlossom,3,Men,31,183.0
Armaf,Club De Nuit Milestone,Ambroxan,VioletSandalwood,3,Women,37,247.0
LANVIN,Eclat D'arpege,Blackberry,Petitgrain,5,Women,29,118.0
Givenchy,Dahlia Divin Nude,Ginger,Cardamom,5,Men,40,13.0
Roberto Cavalli,cavalli,Benzoin,AfricanOrangeFlower,4,Men,30,294.0
Roberto Cavalli,Florence,Patchouli,HibiscusSeed,4,Women,23,330.0
J.CASANOVA,Pandora,Cedar,Orchid,3,Men,40,286.0
CHOPARD,Wish,Amber,LivingOsmanthusFlower,5,Men,24,30.0
CARTIER,La Panthere,Leather,Ylang-Ylang,5,Men,29,148.0
Roberto Cavalli,Uomo,TonkaBean,AfricanOrangeFlower,3,Women,30,352.0
Roberto Cavalli,Florence Amber,Patchouli,Quince,4,Women,29,36.0
HUGO BOSS,Ma Vie,Cedar,Rose,4,Women,39,221.0
BURBERRY,Mr.Burberry,Vetiver,NutmegOil,4,Women,25,392.0
AIGNER,Debut Night,Vanilla,OrangeBlossom,3,Women,37,244.0
HUGO BOSS,Boss Orange,OliveTree,WhiteFlowers,4,Women,26,216.0
PACO RABANNE,1 Million,leather,Roseabsolute,4,Men,39,219.0
